cell_id,row,col,lat,lon,elevation_m,drainage_poorness,rainfall_mm,rain_norm,elev_norm,elev_component,drain_component,rain_component,readiness_score,risk_class
1,0,0,28.5595,77.232,218.99342830602245,0.2324083969394795,93.38517031798344,0.07942322064947663,0.8950084216880816,0.10499157831191841,0.2324083969394795,0.07942322064947663,12.661843990383199,Low
2,0,1,28.5595,77.241,214.72347139765762,0.6614917719583683,133.17418708938564,0.3155182260462331,0.6636669525261452,0.33633304747385484,0.6614917719583683,0.3155182260462331,40.929680002393454,Medium
3,0,2,28.5595,77.25,211.7953770762014,0.2323077999694041,136.29141933892922,0.3340148621658744,0.5050260911058806,0.4949739088941194,0.2323077999694041,0.3340148621658744,36.492376297164256,Medium
4,0,3,28.5595,77.259,210.54605971281606,0.8611676288840868,117.90890923113524,0.22493906247873874,0.4373394796253544,0.5626605203746455,0.8611676288840868,0.22493906247873874,50.21987143436431,Medium
5,0,4,28.5595,77.268,205.53169325055333,0.5030999522495951,143.54857153335962,0.37707642853613454,0.16566673697455533,0.8343332630254446,0.5030999522495951,0.37707642853613454,56.86222015357583,Medium
6,1,0,28.5685,77.232,217.53172608610163,0.29312801191161986,166.16203427258154,0.5112573166472785,0.8158150372369861,0.18418496276301388,0.29312801191161986,0.5112573166472785,34.224966660387125,Medium
7,1,1,28.5685,77.241,218.15842563101478,0.6160782476777361,225.4474360484212,0.8630374908755564,0.8497689146541813,0.15023108534581875,0.6160782476777361,0.8630374908755564,55.181543814069315,Medium
8,1,2,28.5685,77.25,212.03486945830582,0.26907876241487855,156.98311251327357,0.4567925985379888,0.5180015193638551,0.4819984806361449,0.26907876241487855,0.4567925985379888,41.86861982415659,Medium
9,1,3,28.5685,77.259,206.56105122813008,0.8331263431403564,160.30201562891057,0.4764858835844495,0.22143619599641642,0.7785638040035836,0.8331263431403564,0.4764858835844495,67.13732706201232,Medium
10,1,4,28.5685,77.268,207.08512008717193,0.49755451271223594,147.0221633693533,0.39768758583053876,0.249829658130719,0.750170341869281,0.49755451271223594,0.39768758583053876,54.60232821645228,Medium
11,2,0,28.5775,77.232,217.0731646143751,0.152082576215471,80.0,0.0,0.7909706917677242,0.20902930823227583,0.152082576215471,0.0,11.11809019351643,Low
12,2,1,28.5775,77.241,214.06854049285948,0.6814341023336182,148.93944498203132,0.40906410752980477,0.628183531740623,0.371816468259377,0.6814341023336182,0.40906410752980477,46.41199324861084,Medium
13,2,2,28.5775,77.25,210.98392454313208,0.18936650259939716,152.40920839764107,0.4296525482304213,0.46106250431003215,0.5389374956899678,0.18936650259939716,0.4296525482304213,40.783076843350656,Medium
14,2,3,28.5775,77.259,203.6734395106844,0.6803793375919329,248.52968449941145,1.0,0.0649886365902669,0.9350113634097331,0.6803793375919329,1.0,89.73488115913898,High
15,2,4,28.5775,77.268,202.55016433497394,0.4812525822394198,142.3055614087551,0.3697008132058343,0.004130849263906529,0.9958691507360935,0.4812525822394198,0.3697008132058343,61.67476735998214,Medium
16,3,0,28.5865,77.232,216.87542494151805,0.33562400285708227,162.0618936933445,0.48692842413545895,0.7802573783989796,0.21974262160102043,0.33562400285708227,0.48692842413545895,35.55872879288113,Medium
17,3,1,28.5865,77.241,212.97433775933115,0.6927989878419666,148.61152921179027,0.4071183626527817,0.568900856676722,0.43109914332327803,0.6927989878419666,0.4071183626527817,48.693179218475166,Medium
18,3,2,28.5865,77.25,211.12849466519054,0.4003532897892024,103.25287849521871,0.13797497197177697,0.46889515113801483,0.5311048488619852,0.4003532897892024,0.13797497197177697,34.116500833770615,Medium
19,3,3,28.5865,77.259,205.68395184895758,0.8361636025047634,195.71291258060083,0.6866025586193092,0.1739159368150437,0.8260840631849563,0.8361636025047634,0.6866025586193092,77.28113461886493,High
20,3,4,28.5865,77.268,203.17539259732942,0.33548802453948756,180.07732130747098,0.5938260764252512,0.03800501424471209,0.9619949857552879,0.33548802453948756,0.5938260764252512,65.81006817193231,Medium
21,4,0,28.5955,77.232,220.9312975378431,0.2361395605508414,181.64127788172186,0.6031060829647303,1.0,0.0,0.2361395605508414,0.6031060829647303,30.027732332360245,Medium
22,4,1,28.5955,77.241,214.54844739902694,0.8538036566465969,113.62450180821044,0.1995167908139522,0.6541843488721136,0.34581565112788637,0.8538036566465969,0.1995167908139522,41.42931083819903,Medium
23,4,2,28.5955,77.25,210.63505640937584,0.29641739608900486,206.11177243744396,0.7483059902001085,0.4421612206814209,0.5578387793185791,0.29641739608900486,0.7483059902001085,56.86703178637973,Medium
24,4,3,28.5955,77.259,204.65050362757307,0.9564643655814007,93.92595748830877,0.08263207475688,0.11792487297795315,0.8820751270220468,0.9564643655814007,0.08263207475688,58.08952157558185,Medium
25,4,4,28.5955,77.268,204.91123455094964,0.13802548959102556,173.47428375201082,0.5546458122772862,0.13205098154633743,0.8679490184536626,0.13802548959102556,0.5546458122772862,56.01468537674528,Medium
26,5,0,28.6045,77.232,218.22184517941974,0.2821902504375224,237.61822503239915,0.9352549700699736,0.8532049145521778,0.14679508544782216,0.2821902504375224,0.9352549700699736,49.60278305441078,Medium
